"";"IncNodePurity"
"month";523207,021472943
"sched_dep_time";1737510,12617216
"distance";803762,568174481
"carrier";429410,23629916
"wind_speed";733455,949676828
"wind_dir";849578,094646761
"visib";222330,430690414
"temp";882775,214904184
"dewp";998572,508168041
"humid";1320356,41310919
"precip";106486,320470425
"pressure";1257430,12080724
"manufacturer";367944,617928057
"seats";338853,016106601
