"";"IncNodePurity"
"month";450738,876168537
"sched_dep_time";1335336,82885782
"distance";685881,009127419
"carrier";402297,766935633
"wind_speed";613487,27123351
"wind_dir";730838,517810287
"visib";200541,228664793
"temp";886305,770661316
"dewp";927033,681836567
"humid";1028915,76767843
"precip";83996,7668687298
"pressure";1248131,4125905
"manufacturer";395720,44331636
"seats";302265,113426816
