"";"IncNodePurity"
"month";439047,392894214
"sched_dep_time";1332039,40021318
"distance";575261,088445944
"carrier";736548,461504239
"wind_speed";683968,39410805
"wind_dir";737694,253507009
"visib";212545,905980487
"temp";896439,809125398
"dewp";1063612,32682295
"humid";1156673,83241507
"precip";221550,273880127
"pressure";1402404,95449147
"manufacturer";581124,585537272
"seats";412266,53676892
